X,Y,Speed,Throttle,Brake,nGear,DRS,Distance
0.0,0.0,120,100,0,3,0,0
10.2,5.1,135,100,0,3,0,11
20.5,10.8,150,100,0,4,1,22
30.1,15.2,165,100,0,4,1,33
40.3,18.9,180,95,0,5,1,45
50.0,22.5,195,90,0,5,1,58
60.2,25.1,210,100,0,6,1,71
70.5,27.8,225,100,0,6,1,85
80.1,30.2,240,100,0,7,1,100
90.3,32.5,250,95,0,7,1,115
100.0,34.8,260,80,0,7,0,130
110.2,36.1,220,40,1,6,0,145
120.5,35.8,180,20,1,4,0,160
130.1,34.2,150,60,0,4,0,175
140.3,32.0,165,100,0,4,0,190
150.0,30.5,180,100,0,5,0,205
160.2,28.9,195,100,0,5,0,220
170.5,27.2,210,100,0,6,1,235
180.1,25.8,225,100,0,6,1,250
190.3,24.1,235,100,0,7,1,265
200.0,22.5,245,100,0,7,1,280
210.2,20.8,255,100,0,7,0,295
220.5,18.9,200,30,1,5,0,310
230.1,16.2,160,50,0,4,0,325
240.3,13.5,175,100,0,5,0,340
250.0,10.8,190,100,0,5,0,355
260.2,8.1,205,100,0,6,0,370
270.5,5.5,220,100,0,6,1,385
280.1,2.8,235,100,0,7,1,400
290.3,0.5,250,100,0,7,1,415
